Date,Titre,Candidat,lien
04/02/19,"Cheikh Issa Sall du Pur : 'Macky Sall est tyran, sous mon régime ...",Issa Sall,https://www.leral.net/Cheikh-Issa-Sall-du-Pur-Macky-Sall-est-tyran-sous-mon-regime--la-caisse-noire-sera-supprimee_a242429.html
04/02/19,Issa Sall accuse Macky Sall d'inaugurer des chantiers inachevés et de ...,Issa Sall,https://www.leral.net/Issa-Sall-accuse-Macky-Sall-d-inaugurer-des-chantiers-inacheves-et-de-diviser-des-familles-impactees_a242469.html
04/02/19,"Cheikh Issa Sall du Pur : 'Macky Sall est tyran, sous mon régime ...",Issa Sall,https://www.leral.net/Cheikh-Issa-Sall-du-Pur-Macky-Sall-est-tyran-sous-mon-regime--la-caisse-noire-sera-supprimee_a242429.html
04/02/19,Présidentielle: Djamil va soutenir Cheikh Issa Sall - Leral,Issa Sall,https://www.leral.net/Presidentielle-Djamil-va-soutenir-Cheikh-Issa-Sall_a242476.html
04/02/19,"Issa Sall accuse Abdoulaye Thimbo, l'oncle de Macky Sall - Leral",Issa Sall,https://www.leral.net/Issa-Sall-accuse-Abdoulaye-Thimbo-l-oncle-de-Macky-Sall_a242443.html
04/02/19,Issa Sall accuse Macky Sall d'inaugurer des chantiers inachevés et de ...,Issa Sall,https://www.leral.net/Issa-Sall-accuse-Macky-Sall-d-inaugurer-des-chantiers-inacheves-et-de-diviser-des-familles-impactees_a242469.html
04/02/19,Ousmane Sonko prend « subtilement » le contre-pied de Issa Sall sur ...,Issa Sall,https://www.leral.net/Ousmane-Sonko-prend-subtilement-le-contre-pied-de-Issa-Sall-sur-la-suppression-des-fonds-politiques_a242463.html
05/02/19,Issa Sall: « Macky Sall travaille pour les Occidentaux et délaisse le ...,Issa Sall,https://www.leral.net/Issa-Sall-Macky-Sall-travaille-pour-les-Occidentaux-et-delaisse-le-patronat-senegalais_a242538.html
05/02/19,Issa Sall: « Macky Sall travaille pour les Occidentaux et délaisse le ...,Issa Sall,https://www.leral.net/Issa-Sall-Macky-Sall-travaille-pour-les-Occidentaux-et-delaisse-le-patronat-senegalais_a242538.html
05/02/19,"Cheikh Issa Sall, Pur: ""Nous espérons que Khalifa Sall va travailler ...",Issa Sall,https://www.leral.net/Cheikh-Issa-Sall-Pur-Nous-esperons-que-Khalifa-Sall-va-travailler-avec-nous_a242535.html
06/02/19,Cheikh Issa Sall clashe Macky : « Il a tout donné aux Français : Casino ...,Issa Sall,https://www.leral.net/Cheikh-Issa-Sall-clashe-Macky-Il-a-tout-donne-aux-Francais-Casino-Auchan-Total_a242621.html
06/02/19,"Issa Sall répond à Wade: ""Le scrutin, c'est le 24 février, et il y aura un ...",Issa Sall,https://www.leral.net/Issa-Sall-repond-a-Wade-Le-scrutin-c-est-le-24-fevrier-et-il-y-aura-un-gagnant_a242655.html
07/02/19,Issa Sall sur les propos de Me Wade: « le scrutin aura lieu… » - Leral,Issa Sall,https://www.leral.net/Issa-Sall-sur-les-propos-de-Me-Wade-le-scrutin-aura-lieu_a242707.html
07/02/19,VIDEO - Kaolack: Issa sall prône la mécanisation de l'agriculture - Leral,Issa Sall,https://www.leral.net/VIDEO-Kaolack-Issa-sall-prone-la-mecanisation-de-l-agriculture_a242729.html
07/02/19,Arrêt sur images - Idrissa Seck et Issa Sall se rencontrent à Kaffrine et...,Issa Sall,https://www.leral.net/Arret-sur-images-Idrissa-Seck-et-Issa-Sall-se-rencontrent-a-Kaffrine-et_a242766.html
07/02/19,VIDEO - Issa Sall promet de réhabiliter le port de Kaolack et des ...,Issa Sall,https://www.leral.net/VIDEO-Issa-Sall-promet-de-rehabiliter-le-port-de-Kaolack-et-des-Trains-express-regionaux_a242706.html
08/02/19,VIDEO - Quand Idrissa Seck et Issa Sall se rencontrent à Kaffrine et ...,Issa Sall,https://www.leral.net/VIDEO-Quand-Idrissa-Seck-et-Issa-Sall-se-rencontrent-a-Kaffrine-et-echangent-une-poignee-de-mains_a242819.html
08/02/19,Issa Sall: « le retour de Wade ne me gêne nullement » - Leral,Issa Sall,https://www.leral.net/Issa-Sall-le-retour-de-Wade-ne-me-gene-nullement_a242797.html
08/02/19,Dans le Ndoucoumane : Issa Sall promet de remplacer les 127km de ...,Issa Sall,https://www.leral.net/Dans-le-Ndoucoumane-Issa-Sall-promet-de-remplacer-les-127km-de-piste-par-des-routes_a242796.html
09/02/19,"Issa Sall à Me Wade : « Si on ne veut pas participer aux élections, on s ...",Issa Sall,https://www.leral.net/Issa-Sall-a-Me-Wade-Si-on-ne-veut-pas-participer-aux-elections-on-s-abstient_a242877.html
10/02/19,"#SunuDebat: Madické Niang rejoint Idy, Sonko et Issa Sall...Il ne ...",Issa Sall,https://www.leral.net/SunuDebat-Madicke-Niang-rejoint-Idy-Sonko-et-Issa-Sall-Il-ne-manque-plus-que-Macky-Sall_a242927.html
11/02/19,"Issa Sall : «A Kidira, la Gendarmerie a déshabillé et aligné mes ... - Leral",Issa Sall,https://www.leral.net/Issa-Sall-A-Kidira-la-Gendarmerie-a-deshabille-et-aligne-mes-elements-de-securite_a243019.html
11/02/19,Violences électorales: Le MEER met en garde Sonko et Issa Sall - Leral,Issa Sall,https://www.leral.net/Violences-electorales-Le-MEER-met-en-garde-Sonko-et-Issa-Sall_a243007.html
11/02/19,"Le juge Ibrahima Dème choisit le ""Pur sang"" de Cheikh Issa Sall",Issa Sall,https://www.leral.net/Le-juge-Ibrahima-Deme-choisit-le-Pur-sang-de-Cheikh-Issa-Sall_a242967.html
12/02/19,Sa campagne suspendue: Issa Sall sous escorte de la Gendarmerie ...,Issa Sall,https://www.leral.net/Sa-campagne-suspendue-Issa-Sall-sous-escorte-de-la-Gendarmerie-pour-Dakar_a243063.html
12/02/19,Affrontements de Tambacounda: Cheikh Issa Sall annonce puis ...,Issa Sall,https://www.leral.net/Affrontements-de-Tambacounda-Cheikh-Issa-Sall-annonce-puis-reporte-sa-conference-de-presse_a243065.html
13/02/19,"VIDEO - Issa Sall: ""Ce qui s'est passé à Tambacounda avec la Police...""",Issa Sall,https://www.leral.net/VIDEO-Issa-Sall-Ce-qui-s-est-passe-a-Tambacounda-avec-la-Police_a243170.html
13/02/19,Violences à Tambacounda: le candidat Issa Sall du PUR accuse le ...,Issa Sall,https://www.leral.net/Violences-a-Tambacounda-le-candidat-Issa-Sall-du-PUR-accuse-le-commissaire-de-police-de-complicite_a243164.html
13/02/19,Incidents de Tamba: Issa Sall donne sa version et rejette toute la ...,Issa Sall,https://www.leral.net/Incidents-de-Tamba-Issa-Sall-donne-sa-version-et-rejette-toute-la-responsabilite-sur-Benno-et-le-ministre-de-l-Interieur_a243120.html
13/02/19,"VIDEO - Issa Sall : ""Le commissaire divisionnaire de Tambacounda m ...",Issa Sall,https://www.leral.net/VIDEO-Issa-Sall-Le-commissaire-divisionnaire-de-Tambacounda-m-a-dit-douma-sa-morom-_a243130.html
14/02/19,"Allô Président : Issa Sall appelle Macky Sall et le traite de tortue, après ...",Issa Sall,https://www.leral.net/Allo-President-Issa-Sall-appelle-Macky-Sall-et-le-traite-de-tortue-apres-avoir-ete-traite-de-mouton_a243221.html
14/02/19,Reprise de sa campagne: Issa Sall se relance à Tivaouane - Leral,Issa Sall,https://www.leral.net/Reprise-de-sa-campagne-Issa-Sall-se-relance-a-Tivaouane_a243246.html
14/02/19,"Allô Président : Issa Sall appelle Macky Sall et le traite de tortue, après ...",Issa Sall,https://www.leral.net/Allo-President-Issa-Sall-appelle-Macky-Sall-et-le-traite-de-tortue-apres-avoir-ete-traite-de-mouton_a243221.html
03/02/19,"Présidentielle 2019 : Macky Sall ""rassuré"" par Serigne Mountakha ...",Macky Sall,https://www.leral.net/Presidentielle-2019-Macky-Sall-rassure-par-Serigne-Mountakha-Mbacke-_a242402.html
03/02/19,Allô Président : Me El Hadji Diouf appelle Macky Sall et parle de ...,Macky Sall,https://www.leral.net/Allo-President-Me-El-Hadji-Diouf-appelle-Macky-Sall-et-parle-de-Sandrine_a242390.html
03/02/19,"Macky Sall à BBY : ""Je vous donne, rendez-vous au soir du 24 Février ...",Macky Sall,https://www.leral.net/Macky-Sall-a-BBY-Je-vous-donne-rendez-vous-au-soir-du-24-Fevrier-2019-pour-feter-notre-victoire_a242376.html
03/02/19,"Dr Abdourakhmane Diouf : ""Macky Sall au premier tour, c'est ... - Leral",Macky Sall,https://www.leral.net/Dr-Abdourakhmane-Diouf-Macky-Sall-au-premier-tour-c-est-mathematiquement-statistiquement-totalement-impossible_a242392.html
03/02/19,"Macky Sall s'offre un bain de foule à Mbacké: ""Pour diriger un pays, il ...",Macky Sall,https://www.leral.net/Macky-Sall-s-offre-un-bain-de-foule-a-Mbacke-Pour-diriger-un-pays-il-faut-une-vision_a242408.html
03/02/19,Photos : Macky Sall rend visite à Famara Ibrahima Sagna - Leral,Macky Sall,https://www.leral.net/Photos-Macky-Sall-rend-visite-a-Famara-Ibrahima-Sagna_a242372.html
04/02/19,Macky Sall renvoie une taupe de Ousmane Sonko - Leral,Macky Sall,https://www.leral.net/Macky-Sall-renvoie-une-taupe-de-Ousmane-Sonko_a242471.html
04/02/19,Vidéo - Campagne électorale : Macky Sall ouvre sa campagne à ...,Macky Sall,https://www.leral.net/Video-Campagne-electorale-Macky-Sall-ouvre-sa-campagne-a-Mbacke-et-minimise-l-opposition_a242420.html
04/02/19,Vidéo : le meeting de Macky Sall à Mbacké vu par un drone ... - Leral,Macky Sall,https://www.leral.net/Video-le-meeting-de-Macky-Sall-a-Mbacke-vu-par-un-drone-impressionnant_a242450.html
04/02/19,"Youssou Ndour : ""Macky Sall, vous êtes l'homme de l'avion neuf, l ...",Macky Sall,https://www.leral.net/Youssou-Ndour-Macky-Sall-vous-etes-l-homme-de-l-avion-neuf-l-homme-des-ponts-l-homme-des-autoroutes_a242425.html
04/02/19,Présidentielle: El Hadj Mansour Mbaye envoie Macky Sall au second ...,Macky Sall,https://www.leral.net/Presidentielle-El-Hadj-Mansour-Mbaye-envoie-Macky-Sall-au-second-tour-_a242478.html
04/02/19,Présidentielle 2019- Kébémer: Macky Sall s'engage à rénover la ville ...,Macky Sall,https://www.leral.net/Presidentielle-2019-Kebemer-Macky-Sall-s-engage-a-renover-la-ville-d-Abdoulaye-Wade_a242488.html
04/02/19,"Youssou Ndour : ""Macky Sall, vous êtes l'homme de l'avion neuf, l ...",Macky Sall,https://www.leral.net/Youssou-Ndour-Macky-Sall-vous-etes-l-homme-de-l-avion-neuf-l-homme-des-ponts-l-homme-des-autoroutes_a242425.html
04/02/19,Vidéo - Campagne électorale : Macky Sall ouvre sa campagne à ...,Macky Sall,https://www.leral.net/Video-Campagne-electorale-Macky-Sall-ouvre-sa-campagne-a-Mbacke-et-minimise-l-opposition_a242420.html
04/02/19,VIDEO - Saint-Louis: Quand Macky Sall évoque Coumba Ndar pour ...,Macky Sall,https://www.leral.net/VIDEO-Saint-Louis-Quand-Macky-Sall-evoque-Coumba-Ndar-pour-designer-Marieme-Faye-Sall_a242505.html
04/02/19,"Macky Sall: ""Ces candidats qui croient qu'avec les réseaux sociaux ...",Macky Sall,https://www.leral.net/Macky-Sall-Ces-candidats-qui-croient-qu-avec-les-reseaux-sociaux-les-insultes_a242477.html
04/02/19,VIDEO - Mbacké: Macky Sall et la coalition Benno Bokk Yakaar vibrent ...,Macky Sall,https://www.leral.net/VIDEO-Mbacke-Macky-Sall-et-la-coalition-Benno-Bokk-Yakaar-vibrent-au-rythme-de-la-chanson-de-Youssou-Ndour_a242445.html
04/02/19,Macky Sall à Pire Gourèye: « Que les bodio bodio restent à leur place »,Macky Sall,https://www.leral.net/Macky-Sall-a-Pire-Goureye-Que-les-bodio-bodio-restent-a-leur-place_a242475.html
04/02/19,VIDEO - Louga: Macky Sall annonce le recrutement de 50 000 jeunes ...,Macky Sall,https://www.leral.net/VIDEO-Louga-Macky-Sall-annonce-le-recrutement-de-50-000-jeunes-par-la-future-Agence-senegalaise-de-protection-des-forets_a242503.html
04/02/19,Présidentielle 2019 : Le Khalife de la famille Omarienne vote Macky Sall,Macky Sall,https://www.leral.net/Presidentielle-2019-Le-Khalife-de-la-famille-Omarienne-vote-Macky-Sall_a242439.html
04/02/19,Vidéo - Mame Thierno Dieng : « Macky Sall s'est impliqué au niveau le ...,Macky Sall,https://www.leral.net/Video-Mame-Thierno-Dieng-Macky-Sall-s-est-implique-au-niveau-le-plus-eleve-dans-la-prise-en-compte-des-questions_a242421.html
04/02/19,Vidéo - 2e journée de la Campagne Présidentielle : Macky Sall à ...,Macky Sall,https://www.leral.net/Video-2e-journee-de-la-Campagne-Presidentielle-Macky-Sall-a-Tivaouane-a-la-residence-ElHadj-Malick-Sy_a242449.html
04/02/19,PHOTOS - Darou Mousty manifeste son satisfecit à Macky Sall - Leral,Macky Sall,https://www.leral.net/PHOTOS-Darou-Mousty-manifeste-son-satisfecit-a-Macky-Sall_a242447.html
05/02/19,VIDEO - Regardez le show de Talla Sylla devant Macky Sall - Leral,Macky Sall,https://www.leral.net/VIDEO-Regardez-le-show-de-Talla-Sylla-devant-Macky-Sall_a242517.html
05/02/19,Podor : Violentes bagarres à l'accueil de Macky Sall - Leral,Macky Sall,https://www.leral.net/Podor-Violentes-bagarres-a-l-accueil-de-Macky-Sall_a242580.html
05/02/19,Campagne électorale: Macky Sall cartonne - Leral,Macky Sall,https://www.leral.net/Campagne-electorale-Macky-Sall-cartonne_a242577.html
05/02/19,"Abdoulaye Wade ""prédit"" la victoire de Macky Sall ( Exclusivité leral )",Macky Sall,https://www.leral.net/Abdoulaye-Wade-predit-la-victoire-de-Macky-Sall-Exclusivite-leral_a242574.html
05/02/19,Macky Sall à Saint-Louis: La forte mobilisation de Mary Teuw Niane ...,Macky Sall,https://www.leral.net/Macky-Sall-a-Saint-Louis-La-forte-mobilisation-de-Mary-Teuw-Niane-en-images_a242569.html
05/02/19,"Vidéo - Marie Teuw Niane : ""Le bilan du président Macky Sall sur l ...",Macky Sall,https://www.leral.net/Video-Marie-Teuw-Niane-Le-bilan-du-president-Macky-Sall-sur-l-Enseignement-superieur-la-Recherche-et-l-innovation-est_a242521.html
05/02/19,Allô Président : Karim Wade appelle Macky Sall - Leral,Macky Sall,https://www.leral.net/Allo-President-Karim-Wade-appelle-Macky-Sall_a242540.html
05/02/19,Video-Campagne présidentielle 2019: Youssou NDOUR fait danser ...,Macky Sall,https://www.leral.net/Video-Campagne-presidentielle-2019-Youssou-NDOUR-fait-danser-Macky-SALL-a-SAINT-LOUIS_a242500.html
